file_name,lzma,bz2,zlib,wavelets
client_storage/R2017_10_06/M171006_064154.lvm,925597,198964,183646,268471,1343
client_storage/R2017_10_06/M171006_090320.lvm,918552,204644,184357,272651,1193
client_storage/R2017_10_06/M171006_070336.lvm,927098,199528,173792,264920,1259
client_storage/R2017_10_06/M171006_084123.lvm,920498,200724,182998,273909,1203
client_storage/R2017_10_06/M171006_040245.lvm,922733,199660,174374,266398,1052
client_storage/R2017_10_06/M171006_041210.lvm,927960,210028,199163,280063,1139
client_storage/R2017_10_06/M171006_084054.lvm,917047,202452,185880,274321,1311
client_storage/R2017_10_06/M171006_073815.lvm,916210,202308,186368,272248,1138
client_storage/R2017_10_06/M171006_082307.lvm,934156,205740,190152,273265,1248
client_storage/R2017_10_06/M171006_063721.lvm,933054,196264,172690,263580,1248
client_storage/R2017_10_06/M171006_064025.lvm,934454,197488,176620,265630,1222
client_storage/R2017_10_06/M171006_051137.lvm,923078,204204,183037,272146,1075
client_storage/R2017_10_06/M171006_090753.lvm,916089,201816,181439,271529,1197
client_storage/R2017_10_06/M171006_063402.lvm,925582,212700,205670,283967,1244
client_storage/R2017_10_06/M171006_070736.lvm,931881,199800,179033,265729,1128
client_storage/R2017_10_06/M171006_070047.lvm,930677,200272,181363,266417,1079
client_storage/R2017_10_06/M171006_073342.lvm,936847,196544,183179,263031,1307
client_storage/R2017_10_06/M171006_053731.lvm,936151,204048,186798,273489,1299
client_storage/R2017_10_06/M171006_052040.lvm,932436,200908,182301,269751,1298
client_storage/R2017_10_06/M171006_024359.lvm,921418,218356,224420,300127,1249
client_storage/R2017_10_06/M171006_063018.lvm,935878,198284,183049,266262,1322
client_storage/R2017_10_06/M171006_084121.lvm,918908,203384,194807,279853,1216
client_storage/R2017_10_06/M171006_003014.lvm,922088,201064,175114,268623,896
client_storage/R2017_10_06/M171006_005231.lvm,937277,203092,183296,270243,1084
client_storage/R2017_10_06/M171006_090251.lvm,921330,201968,183187,268307,1113
client_storage/R2017_10_06/M171006_065801.lvm,929151,197028,170065,262599,1005
client_storage/R2017_10_06/M171006_053018.lvm,932339,197696,181427,267376,1286
client_storage/R2017_10_06/M171006_074802.lvm,936845,198492,176501,266240,1123
client_storage/R2017_10_06/M171006_090915.lvm,925395,202352,189273,273507,1348
client_storage/R2017_10_06/M171006_084309.lvm,918515,206352,188156,277351,1237
client_storage/R2017_10_06/M171006_075840.lvm,935873,196280,182052,264422,1137
client_storage/R2017_10_06/M171006_063749.lvm,932545,200416,175156,265917,1237
client_storage/R2017_10_06/M171006_065615.lvm,932750,200124,175716,264894,1113
client_storage/R2017_10_06/M171006_062144.lvm,935285,199644,179290,262997,1192
client_storage/R2017_10_06/M171006_063359.lvm,935776,201804,186761,267293,1231
client_storage/R2017_10_06/M171006_060959.lvm,926263,198548,177623,266802,1106
client_storage/R2017_10_06/M171006_022335.lvm,928911,198308,181210,272216,1121
client_storage/R2017_10_06/M171006_081844.lvm,936418,196584,185405,266686,1233
client_storage/R2017_10_06/M171006_084911.lvm,918228,200648,175225,267933,1076
client_storage/R2017_10_06/M171006_051145.lvm,926370,202608,187290,273396,1148
